Date,Open,High,Low,Close,Adj Close,Volume
2013-02-04,6.521250,6.622500,6.487500,6.548750,5.285117,77680800
2013-02-11,6.523750,6.585000,6.350000,6.425000,5.185247,59811200
2013-02-18,6.506250,6.741250,6.386250,6.685000,5.395076,58081600
2013-02-25,6.791250,6.963750,6.627500,6.746250,5.444508,94360800
2013-03-04,6.668750,6.902500,6.642500,6.882500,5.554467,69182400
2013-03-11,6.788750,6.810000,6.561250,6.698750,5.406174,62470400
2013-03-18,6.603750,6.697500,6.501250,6.546250,5.283100,53890400
2013-03-25,6.572500,6.746250,6.501250,6.738750,5.438455,44680800
2013-04-01,6.742500,6.856250,6.396250,6.503750,5.248801,51497600
2013-04-08,6.466250,6.816250,5.358750,5.387500,4.347939,218708000
2013-04-15,5.327500,5.358750,5.137500,5.217500,4.210742,145519200
2013-04-22,5.141250,5.215000,4.968750,5.012500,4.045299,97319200
2013-04-29,5.100000,5.431250,5.082500,5.423750,4.377195,89334400
2013-05-06,5.408750,5.513750,5.321250,5.358750,4.324737,67818400
2013-05-13,5.350000,5.437500,5.291250,5.420000,4.374168,49031200
2013-05-20,5.407500,5.496250,5.203750,5.225000,4.216796,60704000
2013-05-27,5.298750,5.346250,5.132500,5.218750,4.211751,46175200
2013-06-03,5.500000,5.572500,5.296250,5.382500,4.395513,66672800
2013-06-10,5.391250,5.421250,5.143750,5.256250,4.292414,67705600
2013-06-17,5.238750,5.312500,4.940000,5.017500,4.097443,63534400
2013-06-24,4.945000,5.212500,4.863750,5.148750,4.204627,71300800
2013-07-01,5.118750,5.208750,5.000000,5.141250,4.198502,43662400
2013-07-08,5.122500,5.988750,5.118750,5.771250,4.712977,116660000
2013-07-15,5.730000,5.997500,5.671250,5.967500,4.873242,52900000
2013-07-22,5.992500,6.291250,5.990000,6.231250,5.088629,70410400
2013-07-29,6.166250,6.273750,6.125000,6.212500,5.073316,55548800
2013-08-05,6.196250,6.248750,6.057500,6.192500,5.056983,49936000
2013-08-12,6.218750,6.313750,6.000000,6.051250,4.941634,54268800
2013-08-19,5.983750,6.006250,5.777500,5.951250,4.859972,61478400
2013-08-26,5.932500,5.986250,5.697500,5.796250,4.733394,55701600
2013-09-02,5.623750,5.880000,5.601250,5.827500,4.758913,46120800
2013-09-09,5.842500,6.188750,5.842500,5.996250,4.896720,50962400
2013-09-16,6.022500,6.145000,5.963750,5.985000,4.887534,48648000
2013-09-23,6.005000,6.161250,5.988750,6.077500,4.963071,47723200
2013-09-30,6.002500,6.185000,5.968750,6.175000,5.042693,44182400
2013-10-07,6.153750,6.792500,6.025000,6.675000,5.451008,103435200
2013-10-14,6.731250,6.892500,6.665000,6.766250,5.525527,57325600
2013-10-21,6.783750,6.875000,6.705000,6.757500,5.550948,35768800
2013-10-28,6.777500,6.813750,6.540000,6.571250,5.397954,45708000
2013-11-04,6.583750,6.788750,6.538750,6.710000,5.511930,49494400
2013-11-11,6.666250,6.847500,6.546250,6.827500,5.608450,42070400
2013-11-18,6.848750,6.962500,6.656250,6.740000,5.536573,38045600
2013-11-25,6.706250,6.816250,6.603750,6.752500,5.546841,28159200
2013-12-02,6.751250,6.975000,6.636250,6.935000,5.696757,41744000
2013-12-09,6.875000,6.938750,6.707500,6.796250,5.582780,25924000
2013-12-16,6.956250,7.138750,6.875000,7.125000,5.852832,41723200
2013-12-23,7.033750,7.291250,7.030000,7.281250,5.981184,30006400
2013-12-30,7.100000,7.197500,6.926250,7.143750,5.868233,22342400
2014-01-06,7.111250,7.465000,6.905000,7.437500,6.109534,73070400
2014-01-13,7.498750,7.617500,7.422500,7.535000,6.189625,68617600
2014-01-20,7.580000,7.707500,7.441250,7.441250,6.112615,55956800
2014-01-27,7.415000,7.587500,7.245000,7.322500,6.015069,70693600
2014-02-03,7.266250,7.318750,6.973750,7.208750,5.921628,54117600
2014-02-10,7.160000,7.442500,7.143750,7.412500,6.088999,36185600
2014-02-17,7.453750,7.656250,7.421250,7.601250,6.244047,32415200
2014-02-24,7.603750,7.766250,7.570000,7.708750,6.332354,31887200
2014-03-03,7.588750,7.900000,7.470000,7.546250,6.198868,51044800
2014-03-10,7.488750,7.568750,6.660000,6.868750,5.642335,100669600
2014-03-17,6.907500,6.945000,6.648750,6.732500,5.530413,57949600
2014-03-24,6.738750,6.850000,6.615000,6.741250,5.537600,52343200
2014-03-31,6.801250,6.978750,6.758750,6.847500,5.624880,35911200
2014-04-07,6.800000,6.915000,6.591250,6.643750,5.457509,50637600
2014-04-14,6.708750,6.986250,6.363750,6.610000,5.429785,84096000
2014-04-21,6.555000,6.597500,6.438750,6.562500,5.390765,54880800
2014-04-28,6.576250,6.741250,6.563750,6.683750,5.490366,48422400
2014-05-05,6.642500,6.696250,6.307500,6.560000,5.388712,60809600
2014-05-12,6.728750,6.865000,6.560000,6.650000,5.462643,65482400
2014-05-19,6.472500,6.723750,6.428750,6.581250,5.406168,60464000
2014-05-26,6.650000,6.687500,6.257500,6.428750,5.280896,84198400
2014-06-02,6.460000,6.562500,6.380000,6.501250,5.340452,48705600
2014-06-09,6.468750,6.878750,6.457500,6.747500,5.542734,87497600
2014-06-16,6.805000,6.907500,6.680000,6.826250,5.607423,53857600
2014-06-23,6.726250,6.881250,6.568750,6.713750,5.587973,40361600
2014-06-30,6.716250,6.775000,6.661250,6.716250,5.590054,28537600
2014-07-07,6.905000,7.062500,6.672500,6.777500,5.641033,86206400
2014-07-14,6.712500,6.855000,6.642500,6.778750,5.642073,71052800
2014-07-21,6.666250,7.015000,6.583750,6.900000,5.742992,47752000
2014-07-28,6.925000,6.988750,6.830000,6.896250,5.739872,38276800
2014-08-04,7.087500,7.265000,6.891250,7.233750,6.020778,81051200
2014-08-11,7.280000,7.337500,7.197500,7.267500,6.048870,37886400
2014-08-18,7.266250,7.440000,7.218750,7.373750,6.137303,39131200
2014-08-25,7.432500,7.483750,7.340000,7.437500,6.190362,33308800
2014-09-01,7.432500,7.705000,7.411250,7.701250,6.409887,42083200
2014-09-08,7.758750,7.770000,7.425000,7.453750,6.203888,54220000
2014-09-15,7.437500,7.651250,7.363750,7.440000,6.192444,95796000
2014-09-22,7.421250,7.522500,7.306250,7.510000,6.250707,63896800
2014-09-29,7.508750,7.703750,7.425000,7.507500,6.248626,67912800
2014-10-06,7.553750,7.945000,7.383750,7.852500,6.535775,126295200
2014-10-13,8.005000,8.186250,7.696250,7.753750,6.453583,119552000
2014-10-20,7.695000,7.833750,7.682500,7.772500,6.519425,63118400
2014-10-27,7.746250,8.363750,7.686250,8.357500,7.010111,63677600
2014-11-03,8.337500,8.533750,8.328750,8.500000,7.129639,39000800
2014-11-10,8.482500,8.533750,8.372500,8.480000,7.112862,36164000
2014-11-17,8.500000,8.611250,8.225000,8.481250,7.113911,64425600
2014-11-24,8.576250,8.781250,8.546250,8.730000,7.322558,41321600
2014-12-01,8.712500,8.795000,8.372500,8.416250,7.059391,41901600
2014-12-08,8.070000,8.140000,7.715000,7.817500,6.557170,79693600
2014-12-15,7.745000,8.155000,7.602500,8.032500,6.737508,85019200
2014-12-22,7.985000,8.050000,7.860000,7.950000,6.668308,25558000
2014-12-29,7.957500,8.060000,7.850000,7.975000,6.689279,27967600
2015-01-05,7.917500,8.710000,7.695000,8.390000,7.037374,81907200
2015-01-12,8.502500,8.675000,8.352500,8.642500,7.249165,58973200
2015-01-19,8.662500,8.962500,8.580000,8.875000,7.444182,42570800
2015-01-26,8.862500,8.955000,8.512500,8.520000,7.146414,51343600
2015-02-02,8.672500,9.025000,8.512500,8.942500,7.500799,42883600
2015-02-09,8.962500,9.260000,8.927500,9.150000,7.674845,42013200
2015-02-16,9.080000,9.320000,8.985000,9.230000,7.741947,32266800
2015-02-23,9.092500,9.305000,9.037500,9.177500,7.697913,37377600
2015-03-02,9.177500,9.272500,8.770000,8.810000,7.389661,53919200
2015-03-09,8.687500,8.862500,8.600000,8.802500,7.383369,48210800
2015-03-16,8.940000,9.162500,8.850000,9.027500,7.572096,40595600
2015-03-23,8.927500,9.040000,8.595000,8.875000,7.444182,64689600
2015-03-30,8.942500,8.995000,8.640000,8.660000,7.263843,37747600
2015-04-06,8.682500,9.080000,8.627500,9.077500,7.614035,49504800
2015-04-13,9.025000,9.110000,8.665000,8.775000,7.360302,42908000
2015-04-20,8.620000,8.795000,7.862500,7.952500,6.670406,143001200
2015-04-27,7.890000,7.970000,7.717500,7.797500,6.540395,83128800
2015-05-04,7.937500,8.000000,7.627500,7.805000,6.546686,57808000
2015-05-11,7.897500,7.917500,7.650000,7.767500,6.515231,52725600
2015-05-18,7.812500,8.050000,7.767500,7.957500,6.674600,42945600
2015-05-25,7.842500,7.972500,7.745000,7.967500,6.682988,35416400
2015-06-01,7.992500,8.112500,7.852500,7.952500,6.670406,50305600
2015-06-08,7.882500,7.952500,7.647500,7.755000,6.504747,47396800
2015-06-15,7.697500,8.105000,7.680000,7.975000,6.787930,37642000
2015-06-22,8.095000,8.180000,7.870000,8.085000,6.881557,47631600
2015-06-29,7.955000,8.010000,7.830000,7.980000,6.792186,23452200
2015-07-06,7.930000,7.965000,7.660000,7.740000,6.587910,36387200
2015-07-13,7.740000,8.040000,7.710000,7.920000,6.741117,30174600
2015-07-20,7.925000,8.950000,7.855000,8.615000,7.332668,72930800
2015-07-27,8.390000,8.555000,8.285000,8.455000,7.196483,37125600
2015-08-03,8.500000,8.775000,8.345000,8.765000,7.460339,33450800
2015-08-10,8.700000,9.105000,8.695000,8.985000,7.647593,32524000
2015-08-17,8.950000,9.115000,8.525000,8.525000,7.256063,37494000
2015-08-24,8.025000,8.785000,7.950000,8.755000,7.451828,64016400
2015-08-31,8.575000,8.830000,8.375000,8.460000,7.200738,41829800
2015-09-07,8.495000,8.850000,8.485000,8.845000,7.528432,40511800
2015-09-14,8.850000,9.000000,8.665000,8.710000,7.413527,36068600
2015-09-21,8.845000,8.970000,8.780000,8.905000,7.579499,33345600
2015-09-28,8.895000,9.580000,8.825000,9.445000,8.039121,56840400
2015-10-05,9.525000,9.730000,9.415000,9.575000,8.149772,53466600
2015-10-12,9.340000,9.515000,8.620000,9.020000,7.677383,76298400
2015-10-19,9.000000,9.330000,8.795000,9.310000,7.995440,45627000
2015-10-26,9.245000,9.360000,9.015000,9.080000,7.797916,24757200
2015-11-02,9.040000,9.305000,8.885000,8.950000,7.686272,30086800
2015-11-09,8.905000,8.950000,8.460000,8.510000,7.308400,31310600
2015-11-16,8.510000,8.515000,7.860000,8.105000,6.960584,57318000
2015-11-23,8.125000,8.345000,7.935000,8.235000,7.072228,20224600
2015-11-30,8.320000,8.500000,8.035000,8.185000,7.029288,34257800
2015-12-07,8.100000,8.225000,7.935000,8.115000,6.969172,38109800
2015-12-14,8.220000,8.530000,8.155000,8.175000,7.020701,43203400
2015-12-21,8.370000,8.460000,8.225000,8.425000,7.235402,19940800
2015-12-28,8.425000,8.525000,8.360000,8.375000,7.192461,13282400
2016-01-04,8.230000,8.230000,7.880000,8.085000,6.943409,38524000
2016-01-11,8.090000,9.035000,8.075000,8.660000,7.437220,74258600
2016-01-18,8.720000,9.005000,8.520000,8.950000,7.686272,47935200
2016-01-25,8.925000,9.005000,8.625000,8.955000,7.690567,45275400
2016-02-01,8.940000,8.950000,8.655000,8.675000,7.450102,36410800
2016-02-08,8.500000,8.550000,7.955000,8.050000,6.913352,69357400
2016-02-15,8.035000,8.375000,8.005000,8.195000,7.037877,77263200
